epoch,train_loss,mse,rmse_valence,rmse_arousal,mae_valence,mae_arousal,corr_valence,corr_arousal,pred_valence_std,pred_arousal_std,true_valence_std,true_arousal_std,corr_score
1,1.0788048548357827,0.054278639952341716,0.2503542476420179,0.21419624375939766,0.19984115660190582,0.1699523627758026,0.2527097463607788,-0.1129957064986229,0.05931639298796654,0.03311540558934212,0.25599920749664307,0.20463964343070984,0.13971403986215591
2,0.9594664105347225,0.05861473083496094,0.27069835631118483,0.20964697495972628,0.21465753018856049,0.17282339930534363,0.1336704045534134,0.007540407124906778,0.050740402191877365,0.04503348469734192,0.25599920749664307,0.20463964343070984,0.14121081167832017
3,0.9439405202865601,0.058846946557362875,0.2622210394102789,0.22121039471163098,0.21024566888809204,0.1743679940700531,0.1358136385679245,-0.11006700992584229,0.054837457835674286,0.034273456782102585,0.25599920749664307,0.20463964343070984,0.025746628642082214
4,0.9231856082166944,0.05540884733200073,0.25983653140521334,0.20809295416177245,0.20957574248313904,0.1709306836128235,0.11541604995727539,0.04217790067195892,0.04871426150202751,0.046821605414152145,0.25599920749664307,0.20463964343070984,0.15759395062923431
5,0.9030886760779789,0.05493370691935221,0.2570631088641019,0.20925098418730123,0.20730940997600555,0.16840171813964844,0.09479387104511261,0.06310359388589859,0.03535632789134979,0.04006333649158478,0.25599920749664307,0.20463964343070984,0.1578974649310112
6,0.9062046195779528,0.05623454650243123,0.2602829621719323,0.21147547219416837,0.2090884894132614,0.1698795109987259,0.048740364611148834,0.05922039598226547,0.04488831385970116,0.044420111924409866,0.25599920749664307,0.20463964343070984,0.1079607605934143
7,0.8785158140318734,0.056671826044718425,0.26459435054539243,0.20816695702548835,0.207680806517601,0.1697680503129959,0.19632625579833984,0.02982492372393608,0.052508413791656494,0.04043157026171684,0.25599920749664307,0.20463964343070984,0.22615117952227592
8,0.8739460493837085,0.05932830572128296,0.27351980333097753,0.20938845811833834,0.21492613852024078,0.16872723400592804,0.1332172006368637,0.07760392874479294,0.06860488653182983,0.05864337831735611,0.25599920749664307,0.20463964343070984,0.21082112938165665
9,0.8721971384116581,0.055066895484924314,0.25885210528918523,0.2076761440136526,0.2080955058336258,0.16656945645809174,0.057655539363622665,0.07996265590190887,0.05476893112063408,0.05517283082008362,0.25599920749664307,0.20463964343070984,0.13761819526553154
10,0.8774568693978446,0.05581405957539876,0.2598251762105814,0.2100452165232403,0.20542822778224945,0.17235635221004486,0.17864172160625458,0.04812532663345337,0.04509839788079262,0.057065609842538834,0.25599920749664307,0.20463964343070984,0.22676704823970795
11,0.848563130412783,0.05870101054509481,0.268783956977333,0.21250225654974686,0.2095596045255661,0.16827186942100525,0.17832650244235992,0.07541164010763168,0.0543580986559391,0.07427329570055008,0.25599920749664307,0.20463964343070984,0.2537381425499916
12,0.8360016345977783,0.05719048182169596,0.2642222981860446,0.21111024741277057,0.20974333584308624,0.16711775958538055,0.08061865717172623,0.07513982057571411,0.047468654811382294,0.0694541484117508,0.25599920749664307,0.20463964343070984,0.15575847774744034
13,0.8281587149415698,0.05785382986068725,0.26522657020557827,0.2129847991952568,0.21083921194076538,0.16735921800136566,0.04513511806726456,0.09212750941514969,0.052762262523174286,0.08014502376317978,0.25599920749664307,0.20463964343070984,0.13726262748241425
14,0.840001038142613,0.05774654150009155,0.2665093510491947,0.21086927476210085,0.2115623652935028,0.16682718694210052,0.06931521743535995,0.09812428802251816,0.05299491062760353,0.07436062395572662,0.25599920749664307,0.20463964343070984,0.1674395054578781
15,0.8080477288791111,0.0560315211613973,0.26039161402677313,0.21037885193123115,0.20701560378074646,0.1674729734659195,0.09897726774215698,0.13073350489139557,0.05745946243405342,0.07829799503087997,0.25599920749664307,0.20463964343070984,0.22971077263355255
16,0.8267694881984166,0.060606181621551514,0.2735191359590173,0.21540575214407592,0.21531668305397034,0.17144612967967987,0.04295344278216362,0.101389080286026,0.06328509747982025,0.08234305679798126,0.25599920749664307,0.20463964343070984,0.14434252306818962
17,0.8230726718902588,0.05866936445236206,0.26727658008200794,0.21424739607160026,0.2110636681318283,0.16696126759052277,0.056943196803331375,0.11065157502889633,0.06395400315523148,0.09000065177679062,0.25599920749664307,0.20463964343070984,0.1675947718322277
18,0.8315356203487941,0.05967322587966919,0.26962582684188074,0.21598233316501322,0.2129032164812088,0.16937683522701263,0.09005171805620193,0.07536457479000092,0.05473695695400238,0.08594389259815216,0.25599920749664307,0.20463964343070984,0.16541629284620285
19,0.7918691805430821,0.05673375129699707,0.25812930091987873,0.21641801258166102,0.20620329678058624,0.16964314877986908,0.12105666846036911,0.09897440671920776,0.05918163061141968,0.09091407805681229,0.25599920749664307,0.20463964343070984,0.22003107517957687
20,0.7984434536525181,0.05876024564107259,0.2644264444390188,0.2181722726532098,0.21011848747730255,0.16912533342838287,0.12443924695253372,0.0999026671051979,0.06103735417127609,0.09858793020248413,0.25599920749664307,0.20463964343070984,0.22434191405773163
21,0.7967088052204677,0.05860892136891683,0.26380054019026006,0.21823635423305868,0.2096686214208603,0.17083129286766052,0.09382260590791702,0.09892231971025467,0.06388889998197556,0.09594080597162247,0.25599920749664307,0.20463964343070984,0.1927449256181717
22,0.8090007049696786,0.05863473018010457,0.26322030853494843,0.21905369623916965,0.2098335176706314,0.17092984914779663,0.06050516292452812,0.09815406054258347,0.06709504872560501,0.09842704236507416,0.25599920749664307,0.20463964343070984,0.1586592234671116
23,0.7841677112238747,0.05851676464080811,0.26295115551989334,0.21883836732460338,0.20928679406642914,0.1729573756456375,0.09568982571363449,0.09792205691337585,0.06322310864925385,0.09400532394647598,0.25599920749664307,0.20463964343070984,0.19361188262701035
24,0.7840033173561096,0.0580249031384786,0.264040808943606,0.21524930303352224,0.20887164771556854,0.16791711747646332,0.13603214919567108,0.113543801009655,0.061313558369874954,0.09281069785356522,0.25599920749664307,0.20463964343070984,0.24957595020532608
25,0.779612238918032,0.05839119752248128,0.2640826804446015,0.216893372238477,0.20966704189777374,0.16899213194847107,0.1090831458568573,0.12009797245264053,0.06398534029722214,0.10009914636611938,0.25599920749664307,0.20463964343070984,0.22918111830949783
26,0.7922576453004565,0.0572784423828125,0.2594536794112662,0.21734919086669433,0.20617222785949707,0.1709829717874527,0.1455676257610321,0.11580909043550491,0.059820257127285004,0.09647262096405029,0.25599920749664307,0.20463964343070984,0.261376716196537
27,0.7899496938501086,0.05899457931518555,0.2649212377839228,0.2186456158767014,0.21163372695446014,0.1728665679693222,0.06001296266913414,0.10891139507293701,0.06489134579896927,0.09450224786996841,0.25599920749664307,0.20463964343070984,0.16892435774207115
